ADM_CD,ADM_NM,SGG_CD,AtRiskHouse,log_AtRisk
11230770,압구정동,11230,4762,8.469
11230780,청담동,11230,8846,9.088
11230790,대치2동,11230,6384,8.762
11230800,개포2동,11230,8535,9.052
11240510,풍납1동,11240,2177,7.686
11240520,풍납2동,11240,2010,7.606
11240530,거여1동,11240,0,0
11240540,거여2동,11240,0,0
11240550,마천1동,11240,0,0
11240560,마천2동,11240,0,0
11240570,방이1동,11240,2171,7.683
11240580,방이2동,11240,6329,8.753
11240590,오륜동,11240,2903,7.974
11240600,오금동,11240,8190,9.011
11240610,송파1동,11240,9306,9.139
11240620,송파2동,11240,6156,8.725
11240630,석촌동,11240,25541,10.148
11240640,삼전동,11240,28892,10.271
11240650,가락본동,11240,9459,9.155
11240660,가락1동,11240,9806,9.191
11240670,가락2동,11240,3446,8.145
11240680,문정1동,11240,9334,9.142
11240690,문정2동,11240,13191,9.487
11240710,잠실본동,11240,22216,10.009
11240750,잠실4동,11240,1459,7.286
11240770,잠실6동,11240,10886,9.295
11240780,잠실7동,11240,0,0
11240790,잠실2동,11240,17164,9.751
11240800,잠실3동,11240,27063,10.206
11240810,장지동,11240,3368,8.122
11240820,위례동,11240,0,0
11250530,명일1동,11250,23130,10.049
11250540,명일2동,11250,10716,9.28
11250550,고덕1동,11250,9396,9.148
11250560,고덕2동,11250,8405,9.037
11250580,암사2동,11250,4176,8.337
11250590,암사3동,11250,2737,7.915
11250610,천호1동,11250,19069,9.856
11250630,천호3동,11250,15864,9.672
11250650,성내1동,11250,7682,8.947
11250660,성내2동,11250,8798,9.082
11250670,성내3동,11250,12463,9.431
11250700,둔촌1동,11250,8624,9.062
11250710,둔촌2동,11250,7822,8.965
11250720,암사1동,11250,9916,9.202
11250730,천호2동,11250,6932,8.844
11250740,길동,11250,19540,9.88
11250750,강일동,11250,4033,8.303
11250760,상일1동,11250,13495,9.51
11250770,상일2동,11250,6254,8.741
