ADM_CD_2025,ADM_NM,SGG_CD,total_damage_count,log_total_damage_count,total_F_AREA,log_total_F_AREA,total_area_depth,log_total_area_depth,n_damage_years,area_depth_evenness,max_year_share_area_depth,cluster_id,cluster_label,cluster_number_label
11050640,자양1동,11050,262,5.572154032177765,42169.3,10.64947146077743,15934.369999999999,9.676296445910394,2,0.01650308693855854,0.9984712291731647,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050650,자양2동,11050,41,3.7376696182833684,7604.2,8.936587502835431,2400.18,7.783715562174251,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050660,자양3동,11050,35,3.58351893845611,9565.6,9.166033144414207,3837.82,8.252920306691347,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11050670,자양4동,11050,30,3.4339872044851463,7412,8.910990494656719,2270.96,7.728398174052258,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11060710,회기동,11060,17,2.8903717578961645,3076,8.031710375322042,873.8,6.773995288802613,3,0.4558206601042358,0.8469901579308766,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060720,휘경1동,11060,10,2.3978952727983707,1067,6.97354301952014,340.5,5.833347679010845,2,0.6092888185893686,0.8502202643171806,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060730,휘경2동,11060,54,4.007333185232471,48733.2,10.794136321329304,22865.8,10.037441355932657,4,0.6266361932548629,0.5153854227711254,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11060800,청량리동,11060,1,0.6931471805599453,211.6,5.359412465907847,63.48,4.166355098198373,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11060810,용신동,11060,85,4.454347296253507,42442.90606124,10.655938625750998,12700.451818372,9.449471582320305,4,0.39253362288148935,0.7945213402095707,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11060820,제기동,11060,30,3.4339872044851463,5837.5,8.67222919351577,1729.6499999999999,7.456252339469137,3,0.23383653687128086,0.9365016043708265,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11060830,전농1동,11060,30,3.4339872044851463,5646.8,8.639021367781229,1653.84,7.4114596064005065,4,0.5942504226023904,0.6874183717892903,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060840,전농2동,11060,11,2.4849066497880004,1687,7.431299675155903,572.3,6.351409139914337,2,0.9826021168486309,0.5774943211602307,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060860,답십리2동,11060,11,2.4849066497880004,26205,10.17374367116453,7861.5,8.969859901008697,3,0.11968918500097869,0.9742415569547797,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11060870,장안1동,11060,19,2.995732273553991,5609,8.632305998516742,1802.02,7.4972183157652,4,0.5791207619675185,0.6887437431327066,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060880,장안2동,11060,34,3.5553480614894135,7403.09,8.909787829211082,2329.768,7.753953105982979,4,0.4640543833958469,0.7372965891882797,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060890,이문1동,11060,91,4.5217885770490405,12834.01,9.459931872424532,3989.102,8.291572073466932,3,0.3465494224765287,0.8911278779033477,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11060900,이문2동,11060,17,2.8903717578961645,2015,7.60887062919126,604.5,6.406054562993147,2,0.20802202651444351,0.9672456575682383,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11060910,답십리1동,11060,22,3.1354942159291497,7803.06,8.962399390078387,1999.372,7.601088442246227,5,0.8215310223238109,0.45338236206168736,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11070520,면목2동,11070,2,1.0986122886681098,150.16,5.018338878481289,2.9532,1.3745253775198918,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070540,면목4동,11070,3,1.3862943611198906,69.39,4.25405120762004,0.6939,0.5270335626101991,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070550,면목5동,11070,0,0,0,0,0,0,0,0,0,3,5. Very low or no reported damage,Cluster 3: 5. Very low or no reported damage
11070570,면목7동,11070,4,1.6094379124341003,200,5.303304908059076,2,1.0986122886681098,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070590,상봉1동,11070,2,1.0986122886681098,107.12,4.683241721408247,1.0712000000000002,0.7281281494551909,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070600,상봉2동,11070,1,0.6931471805599453,301.94423023,5.713548729921633,60.388846046000005,4.1172281581622325,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070610,중화1동,11070,1,0.6931471805599453,81.02,4.406963119963913,1.6204,0.9633269778755843,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070620,중화2동,11070,2,1.0986122886681098,70.4,4.268297869345539,0.704,0.532978428407124,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070640,묵1동,11070,1,0.6931471805599453,99.36,4.608763721498222,1.9872,1.094336493805321,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070650,묵2동,11070,1,0.6931471805599453,73.79,4.314684186203576,0.7379000000000001,0.5526774877885512,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070680,망우3동,11070,3,1.3862943611198906,195.74,5.281883060084612,28.348,3.3792244008517476,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070690,신내1동,11070,3,1.3862943611198906,211.58,5.359318388105436,2.1158,1.1364859410961912,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070700,신내2동,11070,1,0.6931471805599453,10,2.3978952727983707,0.1,0.09531017980432487,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070710,면목본동,11070,3,1.3862943611198906,153.88,5.042650623528266,18.2588,2.957968099132974,2,0.22402680820580012,0.9639187679365566,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070720,면목3·8동,11070,4,1.6094379124341003,351.13,5.864000425598742,29.3834,3.413896406639564,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11070730,망우본동,11070,5,1.791759469228055,1286.8799999999999,7.160752734622055,247.116,5.513896378743306,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11080580,돈암1동,11080,4,1.6094379124341003,366.84298869,5.907656185954679,40.09729886900001,3.715942398393568,2,0.9675283063705342,0.6056841621263475,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080590,돈암2동,11080,0,0,0,0,0,0,0,0,0,3,5. Very low or no reported damage,Cluster 3: 5. Very low or no reported damage
11080600,안암동,11080,12,2.5649493574615367,3050.63158831,8.02343167355521,839.1431588309999,6.733572304496059,5,0.4295804579723129,0.8084675336507522,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080610,보문동,11080,17,2.8903717578961645,1542.34,7.341704178057268,454.31399999999996,6.120987290824728,3,0.6744452637327041,0.6630656330203339,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080620,정릉1동,11080,6,1.9459101490553132,982.90329363,6.891527613391272,261.290329363,5.569452017580888,3,0.9172368365673503,0.442037025563011,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080630,정릉2동,11080,17,2.8903717578961645,6261.95647483,8.742407632929174,2174.195647483,7.684873892343015,6,0.4853977457905371,0.6242768453571806,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080640,정릉3동,11080,30,3.4339872044851463,12697.75178424,9.449258982910912,2987.951178424,8.002677828401461,7,0.5510214741972904,0.6951920817848244,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11080650,정릉4동,11080,4,1.6094379124341003,827.27639887,6.719346913741795,150.927639887,5.023404354121894,3,0.7674871109642754,0.677808253521968,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080660,길음1동,11080,0,0,0,0,0,0,0,0,0,3,5. Very low or no reported damage,Cluster 3: 5. Very low or no reported damage
11080680,길음2동,11080,13,2.6390573296152584,2056.97565124,7.629478085050924,707.9875651240001,6.5638379877661945,3,0.4676087887603842,0.831582402011374,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080710,월곡1동,11080,17,2.8903717578961645,1747.65008033,7.46659938658029,415.965008033,6.0330023046879315,4,0.4891481290541627,0.799105678556571,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080720,월곡2동,11080,32,3.4965075614664802,3046.2124796,8.021982510587879,721.72624796,6.583030516932021,7,0.5907808146995339,0.6800362344964922,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11080760,장위1동,11080,29,3.4011973816621555,5564.17986106,8.624284583234084,1658.271986106,7.414134222567144,7,0.4347639908716055,0.7729130147158328,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11080770,장위2동,11080,66,4.204692619390966,9519.467314630001,9.16119921425187,2158.197731463,7.677492011065507,7,0.620269904161509,0.6308504453283184,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11080780,장위3동,11080,33,3.5263605246161616,4575.66090012,8.428724950104767,1357.699090012,7.214282969481029,7,0.4308149647029238,0.7654126069943931,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11080810,성북동,11080,12,2.5649493574615367,2445.29,7.802327870135109,819.129,6.709461644958436,4,0.4385507519725349,0.7919387544574786,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11080820,삼선동,11080,42,3.7612001156935624,8087.85451464,8.998242407275793,1529.402866849,7.333286291392062,6,0.8133045252016963,0.42217130227450256,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11080830,동선동,11080,27,3.332204510175204,8061.96700394,8.99503688239586,2309.804700394,7.74535109800319,5,0.27475617521009543,0.8984049602314985,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
